class,screen_name,description,name,statuses_count,followers_count,friends_count,ID
y,@EmaSooma,I'm not pretentious. Registered Nerd. Nurse!,ema sooma,22,41704,266,3412746058
n,@NurseHumorTees,(Shop 4 Nurse Humor Tees/Hoodies) Click Link BELOW! See all DESIGNS! #Nursehumor #nurse #nursing #nursingstudent #nurselife #nurses #ilovenurses #NurseHumorTees,Nurse Humor Tees,3295,41192,6075,2577625310
n,@ohhitsbrystol,| 19 | http://brystolxo.tumblr.com | future nurse,Brystol Azarova,1239,29199,1728,2725263584
y,@AkronSusan,"#Nurse, Mother of 2, Wife of a Pastor.",Susan Robinette,11,27107,4116,2505785232
y,@ReinaQueen7,"#nurse #makeuplover #makeupartist //

Telegram & Instagram: @ReinaQueen7",ReinaQueen,5590,23273,13970,2473089120
n,@KarineSexyPussy,j'aime mettre des photos de moi et j'aime aussi les dialogues coquins ;-) J'ai 19 ans. etudiante infirmiere. pas de snap je ne DM pas #nurse #nsfw #exhib,Ton obsession...,1572,22498,24644,3290199616
y,@Healthtechtalkn,"Listen while you Tweet to a #podcast, hosted by a #Nurse and #Healthtech guy, interviewing expert guest about topics #HealthIT, #medtech #telehealth and more",Healthcare Tech Talk,2589,21745,16466,2356244840
y,@SVnjMAFS,Trauma Nurse/Uncle/Jersey Boy/Married at First Sight/Miami Dolphins Fan!! Never Quit and Always Believe,Sean Varricchio,275,21013,78,3093747088
y,@wetnhorny74,"21+ to view  SHARED ACCOUNT
___squirting naughty nurse___ nurse by day naughty by night #NGOT #Y44 #SOMILFYSQUAD #Venus exchange f/o naughty nurses",__Naughty Nurse_____,14195,18701,1092,4238777559
n,@MKMMACChiba,"An amazing #life journey. Loving wife, mom/ Nurse Research/ #Entrepreneur. Living life forward! Love all things #Japanese and my Bearded Collies!",Christina Chiba,4607,17209,17100,2817935658
n,@Nvthen,Future Nurse. Addicted to social media. Single Cause over qualified,Nate,891,12382,835,3115916406
n,@Velvett_Rose_,"Student nurse, lipstick lover and occasional youtuber",Abbie,410,12057,265,3131166484
