screen_name,upper_letter_count,upper_ratio,followers_count,friends_count,bio_pronouns_count,bio_NNP_tags,bio_PRP_tags,bio_Yes_freq_terms,bio_No_freq_terms,bio_auto_Yes_freq_terms,bio_auto_No_freq_terms,class
@EmaSooma,2,0.2222222222222222,41704,266,1,1,1,0,0,2,0,y
@NurseHumorTees,3,0.2,41192,6075,1,9,0,0,0,2,2,n
@ohhitsbrystol,0,0.0,29199,1728,0,0,0,0,1,0,1,n
@AkronSusan,2,0.18181818181818182,27107,4116,0,4,0,0,0,1,0,y
@ReinaQueen7,2,0.16666666666666666,23273,13970,0,4,0,0,0,4,0,y
@KarineSexyPussy,3,0.1875,22498,24644,0,1,0,0,0,2,22,n
@Healthtechtalkn,1,0.0625,21745,16466,2,4,1,0,0,13,1,y
@SVnjMAFS,6,0.6666666666666666,21013,78,0,11,0,0,0,7,0,y
@wetnhorny74,0,0.0,18701,1092,0,6,0,0,0,14,0,y
@MKMMACChiba,7,0.5833333333333334,17209,17100,2,3,0,2,0,3,7,n
@Nvthen,1,0.14285714285714285,12382,835,0,3,0,0,0,0,2,n
@Velvett_Rose_,2,0.14285714285714285,12057,265,0,0,0,1,0,2,3,n
@Bi_Lust,2,0.25,11839,1240,0,3,0,0,0,13,1,y
@NurseMaryJInk,4,0.2857142857142857,11820,10458,0,13,1,0,0,13,1,y
@ElbertaTrisha,2,0.14285714285714285,11284,12621,0,2,0,0,0,1,0,y
@nursemobileKL,2,0.14285714285714285,10712,11680,0,0,0,0,0,0,0,n
@ATX_Milf,4,0.4444444444444444,10510,650,0,5,0,0,0,0,5,n
@N_P_jobs,2,0.2222222222222222,10341,5222,0,5,0,0,0,0,0,y
@MilfErin,2,0.2222222222222222,10019,290,1,12,1,1,0,3,6,n
@SkogCarla,2,0.2,9292,7209,1,0,0,1,0,3,2,y
@jjantz70,0,0.0,8060,8194,2,4,1,1,0,15,1,y
@naumninai,0,0.0,7933,8511,0,0,0,1,0,4,0,y
@iwriteebooks,0,0.0,7285,534,0,0,0,0,0,1,0,y
@SimpleFanHere,3,0.21428571428571427,6930,4103,1,3,1,0,0,3,1,y
@CountryNurse37,2,0.13333333333333333,6395,4079,2,1,1,1,0,5,1,y
@BabygirlKara1,2,0.14285714285714285,6297,607,0,5,0,0,0,0,8,n
@Nurse_Deola,2,0.16666666666666666,6003,5899,1,2,1,0,0,0,3,n
@kglusuegro,0,0.0,5917,124,1,18,1,0,0,18,0,y
@EndersonHelen,2,0.14285714285714285,5546,4688,5,0,5,1,0,7,6,n
@SarahJane_x21,2,0.14285714285714285,5474,3918,0,5,0,0,0,0,1,n
@lovley1414,0,0.0,5360,5767,0,3,0,0,0,7,0,y
@_Ashleemareee,1,0.07142857142857142,5108,1982,0,0,0,0,0,1,0,y
@MuhiimaB,2,0.2222222222222222,5023,2339,0,11,0,0,0,13,1,y
@lubnasheikh774,0,0.0,5019,3257,3,3,1,0,0,3,5,n
@IvoryBelleHere,3,0.2,4791,165,0,6,0,0,0,6,0,y
@QuotesforNurses,2,0.125,4719,4715,0,5,0,0,0,7,1,y
@BalesMoro,2,0.2,4600,520,4,2,3,0,0,4,4,n
@SweetTXTrouble,4,0.26666666666666666,4549,2964,0,1,0,0,0,8,1,y
@canadiangirl003,0,0.0,4523,4657,0,2,0,1,0,2,4,n
@NursingPaMore,3,0.21428571428571427,4452,357,3,1,4,0,0,4,2,n
@smvalenton,0,0.0,4432,4688,0,0,0,1,0,15,1,y
@MarcieSwenson,2,0.14285714285714285,4288,69,0,8,0,0,0,5,0,y
@greenfiev2,0,0.0,4139,4035,1,2,0,0,0,8,1,y
@NurseOcha,2,0.2,4004,152,0,0,0,0,0,0,0,y
@Bitches4Trump,2,0.14285714285714285,4002,1814,0,10,0,0,0,7,1,y
@easternan0n,0,0.0,3995,1579,1,1,1,0,0,2,0,y
@ConservCandy1,2,0.14285714285714285,3976,3654,1,11,1,0,0,10,2,y
@gufecononik,0,0.0,3971,4427,0,0,0,0,0,1,0,y
@AskTheNP,4,0.4444444444444444,3962,3828,3,7,2,0,0,8,3,y
@NurseYourLashes,3,0.1875,3958,1196,2,7,0,1,0,13,1,y
@spsrn42,0,0.0,3949,515,0,12,0,0,0,10,1,y
@David_Bendell,2,0.14285714285714285,3904,23,1,2,0,0,0,7,0,y
@hischivette12,0,0.0,3877,186,0,3,0,1,0,5,2,y
@valerie_dyer,0,0.0,3832,3765,0,2,0,4,0,6,1,y
@AdrianaMuth,2,0.16666666666666666,3749,4106,0,0,0,0,0,1,0,y
@ayeenacorie,0,0.0,3736,3684,3,5,2,0,0,0,4,n
@ReneeCronley,2,0.15384615384615385,3602,4998,3,1,2,1,0,9,2,y
@KellieHealth,2,0.15384615384615385,3582,59,1,1,0,1,1,7,0,y
@EmmaSNPHarper,5,0.35714285714285715,3581,1959,0,2,0,0,0,5,2,y
@CynNaya,2,0.25,3564,2321,2,4,2,0,0,1,4,n
@jshmxoreo,0,0.0,3556,4073,0,2,0,0,0,0,1,n
@simonpoetry,0,0.0,3528,4999,0,7,0,0,0,9,2,y
@XhaiyCee,2,0.2222222222222222,3486,490,0,4,0,0,0,2,0,y
@drcjaffe,0,0.0,3426,3256,1,9,1,1,1,11,1,y
@flychristianfly,0,0.0,3417,108,0,14,0,0,0,7,1,y
@NUMOCare,5,0.5555555555555556,3391,2801,0,7,0,0,1,16,1,y
@RatedLewd,2,0.2,3370,122,3,1,2,0,0,5,5,n
@vatuhobyvub,0,0.0,3236,3647,0,1,0,0,0,1,0,y
@plussizeanon,0,0.0,3207,2599,1,11,1,0,0,12,2,y
@MarshamMiranda,2,0.13333333333333333,3181,3325,3,1,2,2,0,3,5,n
@NursesCafe,2,0.18181818181818182,3179,1497,1,1,1,0,1,4,8,n
@PittRochelle,2,0.15384615384615385,3125,49,0,2,0,0,0,3,0,y
@bschulte97,0,0.0,3109,2151,0,0,0,0,0,1,4,n
@TaraiiQueen,2,0.16666666666666666,3108,2510,0,5,0,0,0,0,3,n
@cleanupyourdiet,0,0.0,3102,3378,4,0,1,2,1,15,2,y
@ericgethmann,0,0.0,3083,25,0,2,0,0,0,1,2,n
@jhousevlogs,0,0.0,3063,163,2,4,0,1,0,10,2,y
@CrowdFundYouth,3,0.2,3059,2787,0,13,0,0,0,9,1,y
@JoelStn,2,0.25,3048,343,0,1,0,2,2,9,1,y
@babysoundasleep,0,0.0,3021,2960,0,7,0,0,0,12,1,y
@kristinewanders,0,0.0,3011,2621,3,3,2,1,0,11,0,y
@Sassy_Nursey,2,0.15384615384615385,3009,551,1,3,0,0,0,8,0,y
@daisha2x,0,0.0,2896,1762,0,12,0,0,0,11,0,y
@elmorephd,0,0.0,2893,4540,1,5,0,2,0,9,3,y
@Flustered_Mom,2,0.14285714285714285,2858,2812,0,12,0,0,0,13,0,y
@simplemomreview,0,0.0,2755,2386,0,7,0,0,0,9,0,y
@Tynesheiaaa_,1,0.07692307692307693,2744,2414,0,5,0,0,0,1,2,n
@23weeksocks,0,0.0,2735,1561,0,13,0,0,0,14,1,y
@Qveenshxtonly,1,0.07142857142857142,2704,2728,0,0,0,0,1,1,1,n
@MariaFilipina70,2,0.125,2702,2601,0,5,0,0,0,12,1,y
@Majorboobage,1,0.07692307692307693,2696,2569,0,1,0,0,0,6,0,y
@DenNpt,2,0.2857142857142857,2637,2750,0,16,0,0,0,11,2,y
@aiee_light,0,0.0,2578,3215,0,8,0,0,0,4,1,y
@MsPrissEvieDoll,4,0.25,2575,3253,0,0,0,0,0,0,0,n
@JoanneMCourtney,3,0.1875,2556,187,0,1,0,0,0,6,0,y
@iamnursecamila,0,0.0,2529,26,3,0,1,1,0,11,0,y
@Lacy0902,1,0.1111111111111111,2525,2565,1,7,0,1,0,8,1,y
@thenurseteacher,0,0.0,2470,2396,1,5,0,1,0,10,2,y
@WhiteGirlTay,3,0.23076923076923078,2428,1003,0,3,0,0,0,0,1,n
@nursebrenda93,0,0.0,2418,4885,0,2,0,0,0,4,0,y
@rarafan92,0,0.0,2396,42,0,0,0,0,0,0,0,y
@bitchwhaaaaaaaa,0,0.0,2368,4327,5,2,3,1,1,2,11,n
@TravelRNStyle,4,0.2857142857142857,2366,3161,0,18,0,0,0,10,0,y
@pfr2505,0,0.0,2360,1790,0,3,0,2,0,6,0,y
@wifelopedia,0,0.0,2330,2230,0,10,0,0,0,4,1,y
@KeithSonia,2,0.18181818181818182,2303,2991,0,1,0,0,0,1,0,y
@gesare57,0,0.0,2300,1412,0,14,0,0,0,10,0,y
@darian_lparson,0,0.0,2292,2372,0,16,0,0,0,4,0,y
@FreddySabrina,2,0.14285714285714285,2280,3034,0,1,0,0,0,1,0,y
@maximumclassic,0,0.0,2279,2396,0,9,0,0,0,7,1,y
@lmsteinmann,0,0.0,2271,2776,0,3,0,0,0,14,1,y
@DemonicNurse,2,0.15384615384615385,2260,59,1,1,0,2,1,4,0,y
@rideinmyAtivan,1,0.06666666666666667,2242,456,4,1,2,1,0,6,2,y
@whenn__d,0,0.0,2226,1184,2,7,0,1,0,1,2,n
@vep_connie,0,0.0,2226,2451,0,12,0,0,0,4,2,y
@BookMom80,2,0.2,2214,2233,0,8,0,0,0,6,1,y
@garywickson,0,0.0,2203,2415,0,3,0,0,0,1,0,y
@MommyRN_,3,0.3333333333333333,2187,2226,0,2,0,0,0,12,0,y
@kat28RN,2,0.25,2170,1992,0,8,0,0,0,2,0,y
@FierceFemtivist,2,0.125,2162,754,0,13,0,0,0,8,1,y
@emilyaloecake,0,0.0,2148,2505,2,5,2,2,0,10,5,y
@peyge_sims,0,0.0,2114,4958,1,2,1,0,0,11,0,y
@bathurst_vicki,0,0.0,2111,2551,5,0,3,3,1,3,6,n
@yournursingjobs,0,0.0,2065,2452,3,2,3,0,0,7,3,y
@ilerpine,0,0.0,2052,2229,0,5,0,0,0,7,2,y
@paulh2167657,0,0.0,2020,4998,0,3,0,0,0,3,1,y
@BronsonWilks,2,0.15384615384615385,2016,4967,0,7,1,0,0,10,3,y
@GarzaDean,2,0.2,1997,2063,1,1,1,1,0,10,0,y
@websurgeon05191,0,0.0,1989,3036,0,4,0,1,0,2,5,n
@anna__Scott__,1,0.07142857142857142,1978,4536,1,5,1,1,0,10,3,y
@NurseLotsaLuv,3,0.21428571428571427,1973,1973,1,16,1,0,0,0,8,n
@NeuvooChernivt,2,0.13333333333333333,1968,1878,2,1,0,0,0,1,6,n
@MissLovey379,2,0.15384615384615385,1962,3414,0,14,0,0,0,11,1,y
@psychnurseprobz,0,0.0,1943,730,2,1,2,0,0,1,5,n
@FitzeeElla,2,0.18181818181818182,1932,156,1,2,0,0,0,4,3,y
@LewdNurseJoy_,3,0.21428571428571427,1925,556,6,6,4,1,0,6,10,n
@DehaanStephanie,2,0.125,1924,1709,0,1,0,1,2,7,0,y
@chynnadoll7,0,0.0,1919,2057,0,2,0,0,0,0,2,n
@martinfabrizio2,0,0.0,1911,1880,0,9,0,0,0,11,0,y
@lilyppleemingp5,0,0.0,1911,661,1,1,0,1,0,4,1,y
@fiwovanyjej,0,0.0,1900,1369,0,1,0,0,0,0,0,y
@crossfitguy_15,0,0.0,1877,408,2,2,1,0,0,1,5,n
@1periculo,0,0.0,1876,2147,0,8,0,1,0,6,2,y
@papacciorn,0,0.0,1850,2126,0,5,1,0,0,6,1,y
@studentnuurse,0,0.0,1847,3378,4,0,3,0,0,5,2,y
@cocaineNoHonei,2,0.13333333333333333,1841,506,2,6,2,0,0,3,1,y
@DuranceauRandi,2,0.13333333333333333,1828,2333,1,3,1,0,0,9,0,y
@awhjazmin,0,0.0,1827,795,0,0,0,0,1,2,3,n
@starlasphinz1,0,0.0,1822,5002,0,2,0,0,0,5,0,y
@TheMamaNurse,3,0.23076923076923078,1805,2018,1,3,0,0,0,12,1,y
@HuganDking,2,0.18181818181818182,1794,3215,0,12,0,0,0,9,0,y
@suzannecleroy,0,0.0,1790,1585,0,12,0,0,0,10,1,y
@LizzysSugarToes,3,0.1875,1772,1429,2,0,1,0,0,2,4,n
@shonad7674,0,0.0,1758,1606,2,3,0,0,0,13,0,y
@Versatop69,1,0.09090909090909091,1746,572,4,15,3,0,0,1,10,n
@ChastityBelt33,2,0.13333333333333333,1735,2475,0,23,0,0,0,13,1,y
@sexehadagosi,0,0.0,1734,1999,0,1,0,0,0,1,0,y
@Summerpreslie,1,0.07142857142857142,1734,331,0,7,0,0,0,0,6,n
@LisaLocher1,2,0.16666666666666666,1698,3016,0,6,0,0,0,0,10,n
@HisPharmWife,3,0.23076923076923078,1685,1238,5,4,1,1,0,2,7,n
@fiestagramApp,1,0.07142857142857142,1685,4935,0,10,0,0,0,12,0,y
@GymLeaderBr0ck,3,0.2,1684,1607,1,2,0,1,0,0,2,n
@Raquelove01,1,0.08333333333333333,1680,66,0,0,0,0,0,0,0,y
@trevino_roxanne,0,0.0,1663,2186,1,11,1,2,0,10,3,y
@myfaceredso,0,0.0,1660,4990,4,1,0,2,0,9,1,y
@IBDPassport,4,0.3333333333333333,1652,860,0,10,0,0,0,15,0,y
