screen_name,upper_letter_count,upper_ratio,followers_count,friends_count,bio_auto_Yes_freq_terms,bio_auto_No_freq_terms,class
@EmaSooma,2,0.2222222222222222,41704,266,2,0,y
@NurseHumorTees,3,0.2,41192,6075,2,2,n
@ohhitsbrystol,0,0.0,29199,1728,0,1,n
@AkronSusan,2,0.18181818181818182,27107,4116,1,0,y
@ReinaQueen7,2,0.16666666666666666,23273,13970,4,0,y
@KarineSexyPussy,3,0.1875,22498,24644,2,22,n
@Healthtechtalkn,1,0.0625,21745,16466,13,1,y
@SVnjMAFS,6,0.6666666666666666,21013,78,7,0,y
@wetnhorny74,0,0.0,18701,1092,14,0,y
@MKMMACChiba,7,0.5833333333333334,17209,17100,3,7,n
@Nvthen,1,0.14285714285714285,12382,835,0,2,n
@Velvett_Rose_,2,0.14285714285714285,12057,265,2,3,n
@Bi_Lust,2,0.25,11839,1240,13,1,y
@NurseMaryJInk,4,0.2857142857142857,11820,10458,13,1,y
@ElbertaTrisha,2,0.14285714285714285,11284,12621,1,0,y
@nursemobileKL,2,0.14285714285714285,10712,11680,0,0,n
@ATX_Milf,4,0.4444444444444444,10510,650,0,5,n
@N_P_jobs,2,0.2222222222222222,10341,5222,0,0,y
@MilfErin,2,0.2222222222222222,10019,290,3,6,n
@SkogCarla,2,0.2,9292,7209,3,2,y
@jjantz70,0,0.0,8060,8194,15,1,y
@naumninai,0,0.0,7933,8511,4,0,y
@iwriteebooks,0,0.0,7285,534,1,0,y
@SimpleFanHere,3,0.21428571428571427,6930,4103,3,1,y
@CountryNurse37,2,0.13333333333333333,6395,4079,5,1,y
@BabygirlKara1,2,0.14285714285714285,6297,607,0,8,n
@Nurse_Deola,2,0.16666666666666666,6003,5899,0,3,n
@kglusuegro,0,0.0,5917,124,18,0,y
@EndersonHelen,2,0.14285714285714285,5546,4688,7,6,n
@SarahJane_x21,2,0.14285714285714285,5474,3918,0,1,n
@lovley1414,0,0.0,5360,5767,7,0,y
@_Ashleemareee,1,0.07142857142857142,5108,1982,1,0,y
@MuhiimaB,2,0.2222222222222222,5023,2339,13,1,y
@lubnasheikh774,0,0.0,5019,3257,3,5,n
@IvoryBelleHere,3,0.2,4791,165,6,0,y
@QuotesforNurses,2,0.125,4719,4715,7,1,y
@BalesMoro,2,0.2,4600,520,4,4,n
@SweetTXTrouble,4,0.26666666666666666,4549,2964,8,1,y
